Oggetto;Proprietario;Tipo viaggio / Contesto;Quando?;Hotel / Appartamento / Entrambi;Quantità;Posiz. piano;Note
Abiti x partenza;Ciascuno;Tutti;Sempre;Entrambi;;1;
Accappatoi bambine;Ilaria / Emma;Mare;Estate / mezza;Entrambi;;1;
Acqua borracce (piene e fresche) x notte;Ciascuno;Tutti;Sempre;Entrambi;;1;
Asciugamani grandi spiaggia ;Ciascuno;Tutti;Sempre;Entrambi;;1;
Bandana;Ciascuno;Tutti;Sempre;Entrambi;;1;
Berretto ;Ciascuno;Tutti;Sempre;Entrambi;;1;
Cappello;Ciascuno;Tutti;Sempre;Entrambi;;1;
Bilancina;Comune;Tutti;Sempre;Entrambi;;0;
Borsa da mare;Comune;Mare;Sempre;Entrambi;;-1;
Borsa reflex + reflex;Giorgio;Tutti;Sempre;Entrambi;;2;
Mutande;Ciascuno;Tutti;Sempre;Entrambi;;1;
Costume;Ciascuno;Mare;Sempre;Entrambi;;1;
Cane: teli asciuga tutto;Comune;Tutti;Sempre;Entrambi;;-1;
Cane: cibo secco (100g. al giorno);Comune;Tutti;Sempre;Entrambi;;-1;
Cane: cibo umido (1 conf. ogni 3 giorni);Comune;Tutti;Sempre;Entrambi;;-1;
Cane: ciotole gomma;Comune;Tutti;Sempre;Entrambi;;-1;
Cane: posata plastica;Comune;Tutti;Sempre;Entrambi;;0;
Cane: libretto sanitario;Comune;Tutti;Sempre;Entrambi;;1;
Cane: trasportino;Comune;Tutti;Sempre;Entrambi;;-1;
Cane: giochi;Comune;Tutti;Sempre;Entrambi;;0;
Cane: osso e stecchette masticazione;Comune;Tutti;Sempre;Entrambi;;0;
Calze corte;Ciascuno;Tutti;Sempre;Entrambi;;1;
Calze lunghe;Ciascuno;Tutti;Sempre;Entrambi;;1;
Canotte casa;Ciascuno;Tutti;Sempre;Entrambi;;1;
Canotte mare;Ciascuno;Tutti;Sempre;Entrambi;;1;
Caricabatterie cell.;Ciascuno;Tutti;Sempre;Entrambi;;0;
Ciabatte camera;Ciascuno;Tutti;Sempre;Entrambi;;-1;
Ciabatte mare;Ciascuno;Mare;Sempre;Entrambi;;-1;
Cintura;Ciascuno;Tutti;Sempre;Entrambi;;1;Prediligo uso carta, dipende quindi da Location e giorni viaggio
Contanti;Comune;Tutti;Sempre;Entrambi;;1;
Crema doposole;Comune;Tutti;Sempre;Entrambi;;1;
Crema protezione;Comune;Tutti;Sempre;Entrambi;;1;
Creme bambine;Ilaria / Emma;Tutti;Sempre;Entrambi;;1;
Fazzoletti;Comune;Tutti;Sempre;Entrambi;;-1;
Felpe / Golf leggeri;Ciascuno;Tutti;Estate / mezza;Entrambi;;1;
Felpe / Golf pesanti;Ciascuno;Tutti;Inverno / mezza;Entrambi;;1;
Fornelletto zanzare e ricambi;Comune;Mare;Estate;Entrambi;;1;
Giochi x casa;Ilaria / Emma;Tutti;Sempre;Entrambi;;0;
Compiti bambine;Ilaria / Emma;Tutti;Sempre;Entrambi;;0;
Giubbotto;Ciascuno;Tutti;Sempre;Entrambi;;1;
Lenzuola ;Comune;Tutti;Sempre;Entrambi;;1;
Jeans;Ciascuno;Tutti;Sempre;Entrambi;;1;
K-way;Ciascuno;Tutti;Sempre;Entrambi;;-1;
Luce notturna;Comune;Tutti;Sempre;Entrambi;;1;
Macchina caffè + cialde;Comune;Tutti;Sempre;Entrambi;;0;
Magliette maniche lunghe;Ciascuno;Tutti;Sempre;Entrambi;;1;
Magliette maniche corte;Ciascuno;Tutti;Sempre;Entrambi;;1;
Magliette mare;Ciascuno;Mare;Sempre;Entrambi;;1;
Marsupio ;Giorgio;Tutti;Sempre;Entrambi;;-1;
Materiale disegno/colori bambine (fogli,pennar.,ecc…);Ilaria / Emma;Tutti;Sempre;Entrambi;;0;
Materiale snorkeling: giubbotto salvagente;Ciascuno;Mare;Estate;Entrambi;;-1;
Materiale snorkeling: maschera + boccaglio;Ciascuno;Mare;Estate;Entrambi;;-1;
Materiale snorkeling: scarpette sassi;Ciascuno;Mare;Estate;Entrambi;;-1;
Materiale snorkeling: pinne;Ciascuno;Mare;Estate;Entrambi;;-1;
Materiale snorkeling: muta;Ciascuno;Mare;Estate;Entrambi;;-1;
Monopattino bambine;Ilaria / Emma;Tutti;Sempre;Entrambi;;0;
Moonboot e materiale specifico montagna;Ciascuno;Montagna;Sempre;Entrambi;;0;
Ombrellino;Ciascuno;Tutti;Sempre;Entrambi;;-1;
Ombrellone + corda e infila ombrellone giallo;Comune;Mare;Sempre;Entrambi;;-1;
Paletta mosche ;Comune;Tutti;Sempre;Entrambi;;1;
Palla e giochi spiaggia ;Comune;Mare;Sempre;Entrambi;;-1;
Pantaloni corti ;Ciascuno;Mare;Estate / mezza;Entrambi;;1;
Pantaloni lunghi;Ciascuno;Tutti;Sempre;Entrambi;;1;
Pc + mouse;Comune;Tutti;Sempre;Entrambi;;2;
Pouchette;Comune;Tutti;Sempre;Entrambi;;-1;
Hard disk;Comune;Tutti;Sempre;Entrambi;;0;
Cassa portatile;Comune;Tutti;Sempre;Entrambi;;0;
Phon + adattatore presa tedesca;Comune;Tutti;Sempre;Entrambi;;0;
Adattastore presa a 3;Comune;Tutti;Sempre;Entrambi;;0;
Pigiama corto;Ciascuno;Tutti;Estate / mezza;Entrambi;;1;
Pigiama lungo;Ciascuno;Tutti;Sempre;Entrambi;;1;
Porta occhiali +occhiali da casa;Giorgio / Olga;Tutti;Sempre;Entrambi;;-1;
Occhiali sole;Giorgio / Olga;Tutti;Sempre;Entrambi;;-1;
Rasolio capelli elettrico + alim.;Giorgio;Tutti;Sempre;Entrambi;;0;
Rasolio manuale con schiuma;Giorgio / Olga;Tutti;Sempre;Entrambi;;0;
Rasolio barba elettrico + alim.;Giorgio;Tutti;Sempre;Entrambi;;0;
Rasolio barba peli + alim.;Olga;Tutti;Sempre;Entrambi;;0;
Sapone/shampoo;Ciascuno;Tutti;Sempre;Entrambi;;0;
Scarpe;Ciascuno;Tutti;Sempre;Entrambi;;-1;
Sdraietta ;Ciascuno;Mare;Sempre;Entrambi;;-1;
Orologio / auricolari + caricatore;Ciascuno;Tutti;Sempre;Entrambi;;1;
Spazzola capelli + elastici capelli;Olga / Ilaria / Emma;Tutti;Sempre;Entrambi;;0;
Spazzolini e caricatori+dentifr.+filo interdent.;Ciascuno;Tutti;Sempre;Entrambi;;0;
Spray ammazza insetti;Comune;Estate;Sempre;Entrambi;;-1;
Stufetta con adattatore;Comune;Tutti;Inverno / mezza;Entrambi;;0;
Cellulari bambine;Ilaria / Emma;Tutti;Sempre;Entrambi;;0;
Abiti da tenere in casa;Ciascuno;Tutti;Sempre;Entrambi;;1;
Trim unghie;Comune;Tutti;Sempre;Entrambi;;0;
Altro: ;Ciascuno;Tutti;Sempre;Entrambi;;Tutti;
;;;;;;;
Ago+alcool disinfettante;Comune;Tutti;Sempre;Entrambi;;1;
Actigrip;Comune;Tutti;Sempre;Entrambi;;1;
Aircort spray nasale;Comune;Tutti;Sempre;Entrambi;;1;
Antibiotico;Comune;Tutti;Sempre;Entrambi;;1;
Argotone spray;Comune;Tutti;Sempre;Entrambi;;1;
Autan;Comune;Tutti;Sempre;Entrambi;;1;
Gentalin beta / Advantane cortisone;Comune;Tutti;Sempre;Entrambi;;1;
Imodium;Comune;Tutti;Sempre;Entrambi;;1;
Magnesia;Comune;Tutti;Sempre;Entrambi;;1;
Maloox;Comune;Tutti;Sempre;Entrambi;;1;
Sinflex;Comune;Tutti;Sempre;Entrambi;;1;
Otalgan;Comune;Tutti;Sempre;Entrambi;;1;
Prep;Comune;Tutti;Sempre;Entrambi;;1;
Tachipirina bambini;Comune;Tutti;Sempre;Entrambi;;1;
Tachipirina adulti ;Comune;Tutti;Sempre;Entrambi;;1;
Nurofen bambini;Comune;Tutti;Sempre;Entrambi;;1;
Nurofen adulti;Comune;Tutti;Sempre;Entrambi;;1;
Termometro ;Comune;Tutti;Sempre;Entrambi;;1;
Ventolin o Revinty;Comune;Tutti;Sempre;Entrambi;;1;
Xamamina;Comune;Tutti;Sempre;Entrambi;;1;
Xyzal;Comune;Tutti;Sempre;Entrambi;;1;
Kit pulizia naso;Comune;Tutti;Sempre;Entrambi;;0;
Test e medicine acetone;Comune;Tutti;Sempre;Entrambi;;1;
boreal + ialoclean;Comune;Tutti;Sempre;Entrambi;;1;
Medicine specifiche;Comune;Tutti;Sempre;Entrambi;;1;
;;;;;;;
Accendino x cucina gas;Comune;Tutti;Sempre;Appartamento;;0;
Asciugamani bidet + mani + doccia;Comune;Tutti;Sempre;Appartamento;;1;
colazione (biscotti, latte, nesquik);Comune;Tutti;Sempre;Appartamento;;0;
carta igienica e scottex;Comune;Tutti;Sempre;Appartamento;;-1;
Coperta;Comune;Tutti;Sempre;Appartamento;;1;
Mollette x panni;Comune;Tutti;Sempre;Appartamento;;-1;
olio e aceto;Comune;Tutti;Sempre;Appartamento;;0;
pasta sugo e cibi conservati;Comune;Tutti;Sempre;Appartamento;;0;
sale grosso e fino;Comune;Tutti;Sempre;Appartamento;;0;
spezie;Comune;Tutti;Sempre;Appartamento;;0;
spugne e svelto;Comune;Tutti;Sempre;Appartamento;;0;
stracci cucina ;Comune;Tutti;Sempre;Appartamento;;0;
Sacchi immondizia piccoli;Comune;Tutti;Sempre;Appartamento;;0;
Tovaglia e tovagliette ;Comune;Tutti;Sempre;Appartamento;;0;
cibi utili e da frigo in scadenza;Comune;Tutti;Sempre;Appartamento;;0;
;;;;;;;
;;;;;;;
Raccomandazioni:;;;;;;;
Chiudo finestre mansarda e taverna;;;;;;;
Spengo nas;;;;;;;
Coprire piscina;;;;;;;
Frutta in frigo giù nel sacchetto umido.;;;;;;;
LASCIA A CASA LE COSE INUTILI;;;;;;;
BUTTA IMMONDIZIA ;;;;;;;
PULISCI CASA e baygon (no briciole);;;;;;;
Partire con cell carichi;;;;;;;
Metti antifurti, togli programmazione;;;;;;;
;;;;;;;
Legenda:;;;;;;;
Da esaminare;;;;;;;
Fatto;;;;;;;
Fatto in parte;;;;;;;
Prendere all'ultimo;;;;;;;
Da non considerare;;;;;;;
